,processor_controllerRate
0,-14.728190138528605
1,126.13325793987372
2,-11.449807692986887
3,60.92503287506995
4,-8.411266839052697
5,42.42985140865461
6,-5.1467232596977945
7,27.26159767743993
8,1.4943724938757548
9,21.019868556133478
10,-1.0055971299187922
11,-81.65715813893642
12,-12.6639323438585
13,117.20265288939669
14,-3.383335435199828
15,54.91683159167392
16,-3.4395724817300364
17,39.51126107748765
18,-3.5074101865318683
19,28.664805840836294
20,-2.6880912670619357
21,15.935165724092549
22,-4.888950652491481
23,-88.48768031430436
24,-21.665950876331884
25,144.88267698275823
26,4.7309721326814484
27,54.3046861246208
28,4.261550503535479
29,39.30425273589028
30,0.5971123892805127
31,29.006007128235733
32,-0.5209063577093461
33,19.072417996568575
34,-0.9776907483340584
35,-83.45843492736572
36,-12.342236229162024
37,142.8752490684899
38,-7.027974833764383
39,61.74282997039672
40,-2.0270834631513495
41,44.92152268389241
42,-5.7586230643261755
43,32.18862273075864
44,-2.9955418320295126
45,25.481837639859062
46,-2.6386511904796723
47,-83.11487849409812
48,-10.610344113953625
49,128.00690993203207
50,-8.002091449454417
51,61.9392433865367
52,-5.132555156656655
53,46.18996317429274
54,-6.1449416906995316
55,35.0954632139128
56,-4.201666081771963
57,26.378433141894075
58,-3.613524089919165
59,-82.08610809275399
60,-4.357594580944375
61,111.21278734598712
62,-6.514621048828198
63,58.5582920066869
64,-3.7350893699192347
65,37.49275639452831
66,-2.2468221054322846
67,28.284784471987013
68,1.6977992603937602
69,19.525855915970347
70,0.060603678743287454
71,-82.11195258122311
72,-19.750201337907853
73,147.27918385183725
74,-8.712132911959083
75,68.92274232537103
76,-12.252118307260853
77,48.7927920326788
78,-10.704778505618824
79,41.098325531790884
80,-7.41583660011646
81,28.040757183581793
82,-6.814206236421293
83,-82.91953687166108
84,-10.922768272141651
85,118.6103069224216
86,-1.7166537605468726
87,51.67828374290801
88,1.476408086083472
89,38.08156333986648
90,2.4662739660884068
91,28.828489645447338
92,2.768316062893468
93,19.9344568359717
94,2.628777772621214
95,-78.94994782824548
96,-17.73557244302194
97,126.93489700713334
98,-4.1528514741068046
99,55.31642400861857
100,-4.868649220385814
101,42.383317258934255
102,-5.811704395887264
103,30.47783778627307
104,-1.7225630954389295
105,20.89406749363101
106,-3.1454247262012145
107,-84.97077202047181
108,5.29687780055713
109,106.0921571606057
110,-5.15964460315324
111,51.90001002717051
112,-0.5654845860509843
113,35.003645545474214
114,0.17324997868831288
115,25.107490964779927
116,0.1727542256153351
117,19.3697944769257
118,1.6819828813256028
119,-84.91892006574834
120,-9.668398040819953
121,138.91705403418234
122,-15.529802312851466
123,73.10735830902144
124,-9.837337561630735
125,50.9418775825875
126,-5.9219029587447345
127,36.49735518576922
128,-4.384273892395695
129,25.06997013605932
130,-4.310609039048472
131,-82.48747547509075
132,-22.005445254026995
133,149.7868933848477
134,-14.34016933777253
135,73.6317335449738
136,-8.993303424862134
137,47.55958638469719
138,-5.645745968634017
139,29.208168752818025
140,-2.526572307859167
141,20.20757885805984
142,-2.745120017645134
143,-84.00033708651908
144,-22.71083068171608
145,153.90542085784065
146,-13.238988658982842
147,71.1800616068833
148,-10.839989348250036
149,59.60423609912608
150,-10.97794035665882
151,41.536304270113234
152,-9.334663182852234
153,32.00640917805283
154,-5.335681921592027
155,-80.98889544612686
156,-1.7779738241404486
157,120.14013538527072
158,-14.623050887374351
159,63.99624402505126
160,-9.065862628595328
161,55.63470179930016
162,-9.760310191912133
163,39.66437363990397
164,-5.720788105550206
165,29.8862035873106
166,-6.155803538025538
167,-81.12670477410492
168,-11.615176123100209
169,128.646186839259
170,-3.9375229686416984
171,56.550582589446506
172,-0.6067475727873791
173,40.0410961595281
174,-0.16799378749390076
175,28.392298043178954
176,-0.31403420827294837
177,22.700681811709003
178,1.1094454712822126
179,-82.54274063509635
180,0.74489138820029
181,113.11595387034355
182,-1.6717671621288972
183,54.65137455018525
184,2.1891928080777148
185,40.89454778275857
186,1.0680351490966562
187,32.69335113227376
