,Unnamed: 0,cylinderRate,memoryRate,machine_componentRate,printed_circuit_boardRate,solid_stateRate,processor_controllerRate,cylinder수입,solid_state수입
0,0,-36.28262522172481,0.0,-1.7,3.1,-16.22838966588967,-14.728190138528603,-36.28262522172481,-16.22838966588967
1,1,252.25359581096308,0.0,2.5,-7.1,103.4579208996971,126.13325793987372,252.25359581096308,103.4579208996971
2,2,-9.987863278420155,0.0,-3.5,-4.4,-17.268569963244722,-11.449807692986887,-9.987863278420155,-17.268569963244722
3,3,75.65875429849592,0.0,-4.7,0.5,61.03146928408455,60.92503287506995,75.65875429849592,61.03146928408455
4,4,2.62647419343322,0.0,-7.5,-1.0,4.77677377960755,-8.411266839052697,2.62647419343322,4.77677377960755
5,5,40.448884456607445,0.0,-9.7,-2.6,29.18699352942377,42.42985140865461,40.448884456607445,29.18699352942377
6,6,4.878733461308234,0.0,-11.1,-3.9,-2.611392005056091,-5.1467232596977945,4.878733461308234,-2.611392005056091
7,7,21.2105348096657,0.0,-13.0,-2.4,20.4060856057011,27.26159767743993,21.2105348096657,20.4060856057011
8,8,7.385228892735249,0.0,-14.1,-3.2,6.75604662130297,1.4943724938757548,7.385228892735249,6.75604662130297
9,9,24.834810587847503,0.0,-12.8,-1.9,25.60930972245012,21.01986855613348,24.834810587847503,25.60930972245012
10,10,3.0547110621237628,0.0,-13.1,0.9,11.46188165074006,-1.0055971299187922,3.0547110621237628,11.46188165074006
11,11,-84.70528777781695,0.0,-13.9,2.5,-69.48544409210665,-81.65715813893642,-84.70528777781695,-69.48544409210665
12,12,-1.5107736759597947,73.3,-2.7,25.7,-19.88788277176241,-12.6639323438585,-1.5107736759597947,-19.88788277176241
13,13,172.64173025607414,70.5,-9.3,28.6,143.5026321369633,117.20265288939667,172.64173025607414,143.5026321369633
14,14,-18.41377770909528,46.0,-5.2,22.3,-27.63668029683477,-3.383335435199828,-18.41377770909528,-27.63668029683477
15,15,85.52878038514153,39.4,-7.8,18.6,80.95235603737848,54.91683159167392,85.52878038514153,80.95235603737848
16,16,-16.875014179730925,38.8,-9.6,20.6,-19.25302229020347,-3.4395724817300364,-16.875014179730925,-19.25302229020347
17,17,55.226216144909344,43.2,-5.5,22.4,53.02530607567832,39.51126107748765,55.226216144909344,53.02530607567832
18,18,-13.719669440862736,45.2,-5.3,24.4,-20.176206299433705,-3.5074101865318683,-13.719669440862736,-20.176206299433705
19,19,44.32534143052683,44.9,-5.7,21.3,41.63473743766838,28.66480584083629,44.32534143052683,41.63473743766838
20,20,-20.72238290341635,45.8,-6.2,21.1,-18.686393055472188,-2.688091267061936,-20.72238290341635,-18.686393055472188
21,21,38.04382673537724,40.2,-9.9,18.9,35.82310282771769,15.935165724092547,38.04382673537724,35.82310282771769
22,22,-18.67789459197344,34.7,-13.2,12.3,-21.568377574044785,-4.888950652491481,-18.67789459197344,-21.568377574044785
23,23,-89.392156499803,29.4,-15.6,6.4,-93.95710476263297,-88.48768031430436,-89.392156499803,-93.95710476263297
24,24,1.288762588493369,-40.2,-37.2,-56.1,7.916172400158166,-21.665950876331884,1.288762588493369,7.916172400158166
