,solid_stateRate
0,-16.22838966588967
1,103.4579208996971
2,-17.268569963244722
3,61.03146928408455
4,4.77677377960755
5,29.18699352942377
6,-2.611392005056091
7,20.4060856057011
8,6.75604662130297
9,25.609309722450114
10,11.46188165074006
11,-69.48544409210665
12,-19.88788277176241
13,143.5026321369633
14,-27.63668029683477
15,80.95235603737848
16,-19.25302229020347
17,53.025306075678316
18,-20.176206299433705
19,41.63473743766838
20,-18.686393055472188
21,35.82310282771769
22,-21.568377574044785
23,-93.95710476263297
24,7.916172400158166
25,93.94328008207533
26,28.28399236742174
27,49.597949986745604
28,18.063595195904707
29,23.59062445280124
30,22.268774330223113
31,20.817975147328227
32,19.513052850801074
33,19.550521436405393
34,11.730559613349913
35,-75.23194836627673
36,4.0231478272922585
37,114.52968675394473
38,-7.958633326259452
39,62.896250766211345
40,-3.040387755595218
41,32.827031261126535
42,1.7131384395992044
43,31.00759258820026
44,4.7824713794012155
45,22.911567133375954
46,1.7531391405807037
47,-79.13920856186306
48,-14.390310308542501
49,102.87688776957393
50,1.1019832308741722
51,52.74651133554038
52,-1.9720218711162447
53,34.389649353084565
54,0.33091137031460527
55,19.985968641158376
56,2.6528112706853544
57,18.62265146165915
58,-2.5921001039908624
59,-85.57014972391644
60,-27.722862340812615
61,112.5113618883808
62,-13.25665102751219
63,42.80967661182039
64,-11.110934047254801
65,34.731891549489355
66,-11.002443903326103
67,30.772029324256305
68,-11.150999626521543
69,23.47493759061157
70,-10.958880316257162
71,-90.72877652933833
72,-2.116647029119677
73,120.0765229353854
74,1.090014064697609
75,41.36425120772947
76,14.92017059434633
77,22.190767327615944
78,5.149571193551841
79,18.55448679374543
80,0.8199345614130986
81,11.179700872905839
82,6.421769086615161
83,-90.86023265100386
84,-9.712075633863343
85,126.8760907504363
86,-10.297202797202797
87,51.61566946014422
88,0.7969766305884772
89,36.27158415589053
90,-0.4810211873923785
91,22.516033175979388
92,2.506792748261517
93,16.40259973643225
94,6.235767860129425
95,-83.30507653555512
96,-6.854780211809082
97,118.91597227630245
98,-5.343104122941197
99,58.30733962193243
100,-9.353337764694711
101,47.49895244081291
102,-6.058131070115943
103,35.833223081139316
104,-6.223910502588078
105,41.23451294606425
106,-4.006933865630089
107,-81.61232776263803
108,0.15475269329206595
109,122.220241278897
110,-1.9549113470435642
111,67.37221100867383
112,-9.295655291548515
113,43.53731718710698
114,-2.8989861058956063
115,28.362595715059168
116,-5.918092713103559
117,26.400734391511797
118,4.389609512228077
119,-80.8063811542382
120,18.566129983983814
121,100.89225409690377
122,-6.593173252172066
123,50.26805842347548
124,-0.3454274980459393
125,29.82618156057079
126,4.914981729598051
127,25.210599151101988
128,2.369949485583734
129,21.224131934380615
130,3.8703160210162646
131,-78.98132056579234
132,-9.086926762491444
133,119.76751189544059
134,23.62831615873712
135,83.43253638368859
136,-10.536524644844734
137,43.41253866832372
138,-15.90981877095814
139,87.82169400774026
140,10.21738482182794
141,9.714458867900024
142,12.085470507003354
143,-84.9998569948232
144,52.76327368729833
145,12.285653935518559
146,60.67037195382642
147,2.7508727861035425
148,25.832716122917237
149,11.999637784061676
150,10.586103740509074
151,12.592262725692658
152,16.318573309169476
153,65.27601913292817
154,-22.9831974059153
155,-69.79100216892064
156,7.5426625664849745
157,63.55480830592509
158,20.809103255772072
159,40.96494796696966
160,13.147117204246591
161,16.15478373968543
162,16.802723597132914
163,6.984757528311445
164,14.660088292936162
165,2.5291309841358975
166,18.443753722708696
167,-83.58944716598508
168,-0.18961630582820646
169,103.18607701401592
170,2.8026480711169777
171,44.54765853562388
172,10.058673648285374
173,32.87084236013763
174,9.38565257180308
175,18.692527738300956
176,4.322876267631934
177,14.380916319575917
178,6.025409971384548
179,-72.36335886281876
180,-46.09384857812743
181,204.5040091887449
182,-27.36515053192535
183,91.9061202489743
184,-30.092929842201382
185,90.08833484685874
186,-26.259213255313213
187,98.90296573567521
