,시점,산업생산지수(원지수),생산자제품 출하지수(원지수),내수출하지수(원지수),수출출하지수(원지수),산업생산지수(계절조정),내수출하지수(계절조정),수출출하지수(계절조정)
177,2019.10 월,102.0,101.4,105.1,94.6,98.3,102.4,91.6
178,2019.11 월,100.1,99.9,104.6,91.5,96.8,101.6,89.3
179,2019.12 월,104.0,104.2,108.9,95.8,99.9,103.7,92.1
180,2020.01 월,92.9,91.2,96.4,82.1,98.4,101.4,88.0
181,2020.02 월,90.5,89.6,92.2,84.8,92.9,94.8,87.1
182,2020.03 월,103.3,102.0,104.6,97.3,97.9,99.3,92.3
183,2020.04 월,93.7,90.2,96.7,78.7,94.9,98.3,80.9
184,2020.05 월,86.0,85.2,92.3,72.8,85.1,92.0,72.4
185,2020.06 월,92.7,92.0,98.8,80.1,91.6,98.1,79.1
186,2020.07 월,96.9,94.6,99.2,86.4,95.0,99.0,84.9
187,2020.08 월,87.0,86.0,90.5,78.0,95.5,99.5,84.4
188,2020.09 월,99.4,98.4,103.5,89.2,98.1,103.4,87.4
189,2020.10 월,97.0,96.2,100.6,88.3,98.9,103.3,89.4
190,2020.11 월,99.3,98.3,104.1,88.0,97.9,102.9,86.7
191,2020.12 월,104.6,103.0,110.7,89.3,98.2,103.0,84.5
192,2021.01 월,98.9,97.4,103.2,86.9,98.3,103.3,88.6
193,2021.02 월,88.8,88.1,92.2,80.7,101.1,104.3,89.8
194,2021.03 월,105.5,104.2,109.1,95.4,99.9,103.5,90.5
195,2021.04 월,102.9,100.2,106.0,89.8,100.0,103.4,89.9
196,2021.05 월,97.6,96.4,100.6,88.9,98.6,102.4,89.8
197,2021.06 월,102.5,99.8,105.6,89.5,99.3,103.0,87.2
198,2021.07 월,101.2,98.0,102.9,89.3,99.4,103.0,88.0
199,2021.08 월,93.1,89.9,94.7,81.4,100.0,102.3,86.9
200,2021.09 월,93.1,91.3,94.6,85.4,97.0,100.0,87.5
201,2021.10 월,97.3,96.4,99.5,90.8,97.7,100.8,90.1
202,2021.11 월,102.1,100.0,104.6,91.9,98.8,101.6,89.2
203,2021.12 월,108.4,105.9,111.8,95.5,101.5,104.0,90.2
204,2022.01 월,98.9,97.4,102.4,88.4,101.4,105.3,92.8
205,2022.02 월,90.5,90.0,94.1,82.8,99.5,103.4,89.7
206,2022.03 월,104.9,102.3,106.0,95.6,101.5,103.1,92.0
207,2022.04 월,101.2,98.3,101.5,92.8,98.5,99.2,92.9
208,2022.05 월,102.9,99.9,102.7,95.0,100.0,100.7,93.6
209,2022.06 월,101.5,96.0,101.3,86.5,102.4,103.0,86.6
210,2022.07 월,101.6,99.3,101.3,95.7,101.6,103.5,95.5
211,2022.08 월,97.0,95.6,99.2,89.2,102.7,105.3,94.6
212,2022.09 월,97.0,95.0,97.6,90.5,101.3,103.4,93.1
